Year,Model Name,Developer,Number of Parameters,Numeric,MMLU Score,Context Window,Strategic Breakthrough,Official Citations (Params / MMLU / Context)
2016,ResNet-50,Microsoft,25.6 Million,"25,600,000.00",N/A,N/A,Milestone for superhuman image classification.,"He et al. (2016), ""Deep Residual Learning"""
2017,Transformer,Google,213 Million,"213,000,000.00",N/A,512,"Birth of the ""Attention"" mechanism for NLP.","Vaswani et al. (2017), ""Attention Is All You Need"""
2018,BERT (Large),Google,340 Million,"340,000,000.00",0.64,512,First deep bidirectional context understanding.,"Devlin et al. (2018), ""BERT: Pre-training"""
2019,GPT-2,OpenAI,1.5 Billion,"1,500,000,000.00",0.36,"1,024",Demonstrated zero-shot task generalization.,"Radford et al. (2019), ""Language Models"""
2020,GPT-3,OpenAI,175 Billion,"175,000,000,000.00",0.44,"2,048",Proved few-shot learning scales with size.,"Brown et al. (2020), ""Few-Shot Learners"""
2021,DALL-E,OpenAI,12 Billion,"12,000,000,000.00",0.00,256,"Bridged text and images; AI gained an ""imagination.""","Ramesh et al. (2021), ""Zero-Shot Text-to-Image"""
2022,PaLM,Google,540 Billion,"540,000,000,000.00",0.69,"2,048","Breakthrough in ""Chain-of-Thought"" reasoning.","Chowdhery et al. (2022), ""PaLM: Scaling Path"""
2023,GPT-4,OpenAI,~1.76 Trillion,"1,760,000,000,000.00",0.86,"128,000",First multimodal SOTA with human-level logic.,"OpenAI (2023), ""GPT-4 Technical Report"""
2023,Llama 2 (70B),Meta,70 Billion,"70,000,000,000.00",0.69,"4,096",Established the standard for open-source AI.,"Touvron et al. (2023), ""Llama 2: Open Models"""
2024,Claude 3.5 Sonnet,Anthropic,~175 Billion,"175,000,000,000.00",0.89,"200,000",Best-in-class coding and nuanced reasoning.,"Anthropic (2024), ""Claude 3 Model Card"""
2024,Llama 3.1 (405B),Meta,405 Billion,"405,000,000,000.00",0.89,"128,000",First open weights to rival frontier closed models.,"Meta (2024), ""The Llama 3 Herd of Models"""
2025,Gemini 1.5 Pro,Google,~1.5 Trillion,"1,500,000,000,000.00",0.86,"2,000,000","Massive 2M context window; ""Infinite"" recall.","Reid et al. (2024), ""Gemini 1.5 Technical Report"""
2025,Claude 4.5 Opus,Anthropic,~400B (Dense),"400,000,000,000.00",0.89,"1,000,000",Native ability to navigate desktop UI and execute workflows.,"Anthropic (2025), ""Claude 4.5 Technical Card"""
2025,Gemini 3.0 Pro,Google,~1.5T (MoE),"1,500,000,000,000.00",0.91,"2,000,000","Native Multimodality: Processes video and audio as primary inputs, not just text.","Google DeepMind (2025), ""Gemini 3 Technical Report"""
2025,GPT-5 (Pro),OpenAI,~1.8T (MoE),"1,800,000,000,000.00",0.94,"1,000,000","System 2 Reasoning; Built-in ""Chain of Thought"" verification for complex math.","OpenAI (2025), ""Intelligence Frontier Report"""
2025,Llama 4 (400B),Meta,400B (MoE),"400,000,000,000.00",0.89,"128,000",Open-Weights SOTA: Matches closed-source frontier performance for enterprise.,"Meta AI (2025), ""Llama 4: Open Intelligence"""
2026,Agentic Mesh,Various,Distributed,N/A,0.96,Infinite,Multi-Agent Orchestration: Autonomous models managing other models.,"IDC (2026), ""The Agentic Era Roadmap"""